ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
13491895,free-programming-books,EbookFoundation/free-programming-books,351180,62864,19403,HTML,main,"books, education, hacktoberfest, list, resource",84,"Creative Commons Attribution 4.0 International",https://github.com/EbookFoundation/free-programming-books,https://github.com/EbookFoundation,https://ebookfoundation.github.io/free-programming-books/,2013-10-11T06:50:37Z,2025-02-26T06:08:36Z
574523116,awesome-chatgpt-prompts,f/awesome-chatgpt-prompts,120910,16257,1316,HTML,main,"bots, chatbot, chatgpt, chatgpt-api, language",262,"Creative Commons Zero v1.0 Universal",https://github.com/f/awesome-chatgpt-prompts,https://github.com/f,https://prompts.chat,2022-12-05T13:54:13Z,2025-02-26T05:45:07Z
32484381,free-for-dev,ripienaar/free-for-dev,92447,9961,8433,HTML,master,"awesome-list, free-for-developers",13,,https://github.com/ripienaar/free-for-dev,https://github.com/ripienaar,https://free-for.dev/,2015-03-18T21:06:26Z,2025-02-26T05:53:07Z
343965132,ML-For-Beginners,microsoft/ML-For-Beginners,71224,15137,748977,HTML,main,"data-science, education, machine-learning, machine-learning-algorithms, machinelearning, machinelearning-python, microsoft-for-beginners, ml, python, r, scikit-learn, scikit-learn-python",5,"MIT License",https://github.com/microsoft/ML-For-Beginners,https://github.com/microsoft,https://microsoft.github.io/ML-For-Beginners/,2021-03-03T01:34:05Z,2025-02-26T04:20:50Z
419347358,cs-self-learning,PKUFlyingPig/cs-self-learning,60612,7095,60303,HTML,master,,117,"MIT License",https://github.com/PKUFlyingPig/cs-self-learning,https://github.com/PKUFlyingPig,https://csdiy.wiki,2021-10-20T13:43:42Z,2025-02-26T05:29:14Z
92807616,English-level-up-tips,byoungd/English-level-up-tips,37973,4178,151284,HTML,master,"chinese, english-learning, tutorial",28,,https://github.com/byoungd/English-level-up-tips,https://github.com/byoungd,https://byoungd.github.io/English-level-up-tips/,2017-05-30T07:18:52Z,2025-02-26T00:49:20Z
62156403,zju-icicles,QSCTech/zju-icicles,37889,9471,5440079,HTML,master,,11,,https://github.com/QSCTech/zju-icicles,https://github.com/QSCTech,https://qsctech.github.io/zju-icicles/,2016-06-28T16:17:32Z,2025-02-26T05:53:08Z
109484365,Coursera-ML-AndrewNg-Notes,fengdu78/Coursera-ML-AndrewNg-Notes,33011,10775,684224,HTML,master,"coursera, machine-learning",67,,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,https://github.com/fengdu78,,2017-11-04T10:04:08Z,2025-02-26T04:19:37Z
29268051,material-design-lite,google/material-design-lite,32295,5012,56968,HTML,mdl-1.x,"material, material-components, material-design, material-design-lite, mdl",420,"Apache License 2.0",https://github.com/google/material-design-lite,https://github.com/google,https://getmdl.io,2015-01-14T22:01:33Z,2025-02-26T04:44:49Z
224663696,alpine,alpinejs/alpine,29126,1272,9031,HTML,main,,33,"MIT License",https://github.com/alpinejs/alpine,https://github.com/alpinejs,https://alpinejs.dev,2019-11-28T13:51:55Z,2025-02-26T01:48:48Z
75867720,JavaScript30,wesbos/JavaScript30,28139,38838,46985,HTML,master,,58,,https://github.com/wesbos/JavaScript30,https://github.com/wesbos,https://JavaScript30.com,2016-12-07T19:15:31Z,2025-02-26T02:16:40Z
28167802,weui,Tencent/weui,27268,6395,11559,HTML,master,"mobile-web, style, wechat, weui",60,Other,https://github.com/Tencent/weui,https://github.com/Tencent,https://weui.io,2014-12-18T04:09:54Z,2025-02-26T05:12:51Z
63484632,fastText,facebookresearch/fastText,26087,4740,8318,HTML,main,,555,"MIT License",https://github.com/facebookresearch/fastText,https://github.com/facebookresearch,https://fasttext.cc/,2016-07-16T13:38:42Z,2025-02-26T06:03:42Z
152327866,awesome-piracy,Igglybuff/awesome-piracy,24561,2125,2154,HTML,master,"audiobooks, awesome-list, comics, ebooks, movies, music, piracy, tv, warez",1,"Creative Commons Zero v1.0 Universal",https://github.com/Igglybuff/awesome-piracy,https://github.com/Igglybuff,,2018-10-09T22:09:56Z,2025-02-26T00:20:13Z
93253246,en.javascript.info,javascript-tutorial/en.javascript.info,24027,3901,773376,HTML,master,"english, javascript, tutorial",432,Other,https://github.com/javascript-tutorial/en.javascript.info,https://github.com/javascript-tutorial,https://javascript.info,2017-06-03T14:27:57Z,2025-02-26T05:49:06Z
5532320,polymer,Polymer/polymer,22048,2014,31760,HTML,master,"polymer, web-components",80,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/Polymer/polymer,https://github.com/Polymer,https://polymer-library.polymer-project.org/,2012-08-23T20:56:30Z,2025-02-25T18:12:43Z
1631024,chosen,harvesthq/chosen,21840,4077,3057,HTML,main,"deprecated, not-maintained",311,Other,https://github.com/harvesthq/chosen,https://github.com/harvesthq,http://harvesthq.github.io/chosen/,2011-04-18T15:07:41Z,2025-02-25T03:27:32Z
35658863,gentelella,ColorlibHQ/gentelella,21120,6860,35085,HTML,master,"admin-dashboard, bootstrap, colorlib, dashboard, html, html-template",64,"MIT License",https://github.com/ColorlibHQ/gentelella,https://github.com/ColorlibHQ,https://colorlib.com/polygon/gentelella/index.html,2015-05-15T06:57:27Z,2025-02-26T03:21:21Z
20429943,the-swift-programming-language-in-chinese,SwiftGGTeam/the-swift-programming-language-in-chinese,21102,5102,52008,HTML,main,hacktoberfest,1,"Apache License 2.0",https://github.com/SwiftGGTeam/the-swift-programming-language-in-chinese,https://github.com/SwiftGGTeam,https://doc.swiftgg.team,2014-06-03T04:44:09Z,2025-02-25T08:37:20Z
131582572,architecture.of.internet-product,davideuler/architecture.of.internet-product,20207,4681,845499,HTML,master,"architecture, architecture-guidelines, architecture-of-internet-product, chatgpt, dall-e-3, gpt, gpt-4, internet-architecutre, llm, sora",3,,https://github.com/davideuler/architecture.of.internet-product,https://github.com/davideuler,,2018-04-30T10:25:31Z,2025-02-25T08:23:24Z
62615465,You-Dont-Need-JavaScript,you-dont-need/You-Dont-Need-JavaScript,20000,1388,395712,HTML,master,"accordion, burger-menu, carousel, counter, css, font, game, hacktoberfest, javascript, popover, textfield, tooltip, treeview",83,"GNU General Public License v3.0",https://github.com/you-dont-need/You-Dont-Need-JavaScript,https://github.com/you-dont-need,,2016-07-05T07:30:42Z,2025-02-25T17:57:40Z
113552697,deeplearning_ai_books,fengdu78/deeplearning_ai_books,18654,5968,585160,HTML,master,deeplearning-ai,55,,https://github.com/fengdu78/deeplearning_ai_books,https://github.com/fengdu78,,2017-12-08T08:47:42Z,2025-02-26T06:01:36Z
3428345,fastclick,ftlabs/fastclick,18629,3213,322,HTML,main,,279,"MIT License",https://github.com/ftlabs/fastclick,https://github.com/ftlabs,,2012-02-13T08:38:00Z,2025-02-21T11:33:37Z
3755875,skrollr,Prinzhorn/skrollr,18511,3481,1659,HTML,master,,262,"MIT License",https://github.com/Prinzhorn/skrollr,https://github.com/Prinzhorn,http://prinzhorn.github.io/skrollr/,2012-03-18T15:41:35Z,2025-02-20T21:50:51Z
240419888,vpncn.github.io,vpncn/vpncn.github.io,16759,1508,4106,HTML,master,"expressvpn, expressvpn-vpn, fanqiang, kexueshangwang, lantern, nordvpn, pandavpn, vpn, vpn-client, vpn-server, vpn-service, vpnfree",51,,https://github.com/vpncn/vpncn.github.io,https://github.com/vpncn,https://vpncn.github.io,2020-02-14T03:25:56Z,2025-02-26T05:18:30Z
380961,masonry,desandro/masonry,16530,2100,1479,HTML,master,,85,,https://github.com/desandro/masonry,https://github.com/desandro,https://masonry.desandro.com,2009-11-21T21:04:56Z,2025-02-25T07:14:06Z
107119649,Screenshot-to-code,emilwallner/Screenshot-to-code,16489,1564,51643,HTML,master,"cnn, cnn-keras, deep-learning, encoder-decoder, floydhub, jupyter, jupyter-notebook, keras, lstm, machine-learning, seq2seq",22,Other,https://github.com/emilwallner/Screenshot-to-code,https://github.com/emilwallner,,2017-10-16T11:41:48Z,2025-02-26T03:43:47Z
39575101,blog_os,phil-opp/blog_os,16195,1123,18837,HTML,main,"kernel, operating-system, rust, x86-64",84,"Apache License 2.0",https://github.com/phil-opp/blog_os,https://github.com/phil-opp,http://os.phil-opp.com,2015-07-23T15:23:54Z,2025-02-26T04:44:09Z
25659723,dotnet,microsoft/dotnet,14573,2216,3200,HTML,main,,270,"MIT License",https://github.com/microsoft/dotnet,https://github.com/microsoft,https://devblogs.microsoft.com/dotnet/,2014-10-23T21:58:29Z,2025-02-25T16:57:01Z
246128823,html-css,gustavoguanabara/html-css,14462,3489,286175,HTML,master,"css3, curso, cursoemvideo, gratis, gustavoguanabara, html5",460,"MIT License",https://github.com/gustavoguanabara/html-css,https://github.com/gustavoguanabara,https://gustavoguanabara.github.io/html-css/,2020-03-09T19:54:04Z,2025-02-26T01:24:25Z
99234994,design-blocks,froala/design-blocks,13523,1251,379039,HTML,dev,"bootstrap-theme, bootstrap4, design-templates, designer, html-template, html5, material-design, modern-design, website-design",34,Other,https://github.com/froala/design-blocks,https://github.com/froala,https://www.froala.com/design-blocks,2017-08-03T13:22:43Z,2025-02-23T22:35:53Z
